nohup: ignoring input
/home/auzon/Documents/Smart-Plant-Incubator-Code/Water_Test.py:32: RuntimeWarning: This channel is already in use, continuing anyway.  Use GPIO.setwarnings(False) to disable warnings.
  GPIO.setup(PIN, GPIO.OUT)   # Set GPIO Pin mode to output
File already present, adding to current file
EXPERIMENT START: 02:14:30
Time Elapsed: 0s
Moisture value: 0.95V
Light value: 0.02V
Time Elapsed: 1s
Moisture value: 0.95V
Light value: 0.2V
Time Elapsed: 2s
Moisture value: 1.78V
Light value: 0.24V
Time Elapsed: 3s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 4s
Moisture value: 0.95V
Light value: 0.01V
Time Elapsed: 5s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 6s
Moisture value: 1.78V
Light value: 0.2V
Time Elapsed: 7s
Moisture value: 1.78V
Light value: 0.22V
Time Elapsed: 8s
Moisture value: 0.95V
Light value: 0.01V
Time Elapsed: 9s
Moisture value: 1.78V
Light value: 0.2V
Time Elapsed: 10s
Moisture value: 0.95V
Light value: 0.03V
Time Elapsed: 11s
Moisture value: 1.78V
Light value: 0.22V
Time Elapsed: 12s
Moisture value: 1.78V
Light value: 0.2V
Time Elapsed: 13s
Moisture value: 1.78V
Light value: 0.22V
Time Elapsed: 14s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 15s
Moisture value: 0.95V
Light value: 0.0V
Time Elapsed: 16s
Moisture value: 1.78V
Light value: 0.22V
Time Elapsed: 17s
Moisture value: 0.95V
Light value: 0.03V
Time Elapsed: 18s
Moisture value: 0.95V
Light value: 0.22V
Time Elapsed: 19s
Moisture value: 1.78V
Light value: 0.2V
Time Elapsed: 20s
Moisture value: 1.78V
Light value: 0.02V
Time Elapsed: 21s
Moisture value: 0.95V
Light value: 0.19V
Time Elapsed: 22s
Moisture value: 1.78V
Light value: 0.02V
Time Elapsed: 23s
Moisture value: 1.78V
Light value: 0.02V
Time Elapsed: 24s
Moisture value: 1.78V
Light value: 0.2V
Time Elapsed: 25s
Moisture value: 0.95V
Light value: 0.02V
Time Elapsed: 26s
Moisture value: 0.95V
Light value: 0.2V
Time Elapsed: 27s
Moisture value: 0.95V
Light value: 0.23V
Time Elapsed: 28s
Moisture value: 0.95V
Light value: 0.0V
Time Elapsed: 29s
Moisture value: 0.95V
Light value: 0.03V
Time Elapsed: 30s
Moisture value: 0.95V
Light value: 0.01V
Time Elapsed: 31s
Moisture value: 0.95V
Light value: 0.03V
Time Elapsed: 32s
Moisture value: 0.95V
Light value: 0.02V
Time Elapsed: 33s
Moisture value: 0.95V
Light value: 0.02V
Time Elapsed: 34s
Moisture value: 0.95V
Light value: 0.22V
Time Elapsed: 35s
Moisture value: 0.95V
Light value: 0.01V
Time Elapsed: 36s
Moisture value: 1.78V
Light value: 0.02V
Time Elapsed: 37s
Moisture value: 1.78V
Light value: 0.0V
Time Elapsed: 38s
Moisture value: 0.95V
Light value: 0.03V
Time Elapsed: 39s
Moisture value: 0.95V
Light value: 0.0V
Time Elapsed: 40s
Moisture value: 0.95V
Light value: 0.03V
Time Elapsed: 41s
Moisture value: 0.95V
Light value: 0.19V
Time Elapsed: 42s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 43s
Moisture value: 1.78V
Light value: 0.0V
Time Elapsed: 44s
Moisture value: 1.77V
Light value: 0.24V
Time Elapsed: 45s
Moisture value: 1.77V
Light value: 0.24V
Time Elapsed: 46s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 47s
Moisture value: 1.78V
Light value: 0.19V
Time Elapsed: 48s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 49s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 50s
Moisture value: 1.78V
Light value: 0.22V
Time Elapsed: 51s
Moisture value: 1.77V
Light value: 0.22V
Time Elapsed: 52s
Moisture value: 1.78V
Light value: 0.24V
Time Elapsed: 53s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 54s
Moisture value: 1.78V
Light value: 0.2V
Time Elapsed: 55s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 56s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 57s
Moisture value: 1.77V
Light value: 0.23V
Time Elapsed: 58s
Moisture value: 1.78V
Light value: 0.2V
Time Elapsed: 59s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 60s
Moisture value: 1.78V
Light value: 0.24V
Time Elapsed: 61s
Moisture value: 1.78V
Light value: 0.23V
Time Elapsed: 62s
Moisture value: 1.78V
Light value: 0.2V
Time Elapsed: 63s
Moisture value: 1.77V
Light value: 0.21V
Time Elapsed: 64s
Moisture value: 1.78V
Light value: 0.24V
Time Elapsed: 65s
Moisture value: 1.78V
Light value: 0.2V
Time Elapsed: 66s
Moisture value: 1.78V
Light value: 0.18V
Time Elapsed: 67s
Moisture value: 1.78V
Light value: 0.19V
Time Elapsed: 68s
Moisture value: 0.95V
Light value: 0.0V
Time Elapsed: 69s
Moisture value: 1.78V
Light value: 0.19V
Time Elapsed: 70s
Moisture value: 1.78V
Light value: 0.17V
Time Elapsed: 71s
Moisture value: 1.78V
Light value: 0.19V
Time Elapsed: 72s
Moisture value: 1.78V
Light value: 0.18V
Time Elapsed: 73s
Moisture value: 1.78V
Light value: 0.17V
Time Elapsed: 74s
Moisture value: 1.77V
Light value: 0.17V
Time Elapsed: 75s
Moisture value: 1.76V
Light value: 0.09V
Time Elapsed: 76s
Moisture value: 1.79V
Light value: 0.03V
Time Elapsed: 77s
Moisture value: 1.77V
Light value: 0.04V
Time Elapsed: 78s
Moisture value: 1.77V
Light value: 0.03V
Time Elapsed: 79s
Moisture value: 1.77V
Light value: 0.01V
Time Elapsed: 80s
Moisture value: 1.77V
Light value: 0.03V
Time Elapsed: 82s
Moisture value: 1.77V
Light value: 0.01V
Time Elapsed: 83s
Moisture value: 1.76V
Light value: 0.01V
Time Elapsed: 84s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 85s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 86s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 87s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 88s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 89s
Moisture value: 1.76V
Light value: 0.0V
Time Elapsed: 90s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 91s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 92s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 93s
Moisture value: 1.75V
Light value: 0.02V
Time Elapsed: 94s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 95s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 96s
Moisture value: 1.75V
Light value: 0.02V
Time Elapsed: 97s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 98s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 99s
Moisture value: 1.75V
Light value: 0.02V
Time Elapsed: 100s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 101s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 102s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 103s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 104s
Moisture value: 1.76V
Light value: 0.01V
Time Elapsed: 105s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 106s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 107s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 108s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 109s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 110s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 111s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 112s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 113s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 114s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 115s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 116s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 117s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 118s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 119s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 120s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 121s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 122s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 123s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 124s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 125s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 126s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 127s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 128s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 129s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 130s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 131s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 132s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 133s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 134s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 135s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 136s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 137s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 138s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 139s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 140s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 141s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 142s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 143s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 144s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 145s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 146s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 147s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 148s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 149s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 150s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 151s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 152s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 153s
Moisture value: 1.75V
Light value: 0.01V
Time Elapsed: 154s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 155s
Moisture value: 1.75V
Light value: 0.0V
Time Elapsed: 156s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 157s
Moisture value: 1.74V
Light value: 0.02V
Time Elapsed: 158s
Moisture value: 1.72V
Light value: 0.01V
Time Elapsed: 159s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 160s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 161s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 162s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 163s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 164s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 165s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 166s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 167s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 168s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 169s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 170s
Moisture value: 1.74V
Light value: 0.01V
Time Elapsed: 171s
Moisture value: 1.74V
Light value: 0.0V
Time Elapsed: 172s
