Moisture Level,Raw ADC,Time in s,Time of Day,Date
NEW TEST
0.25,8,0,12:34:28,30/04
0.06,2,1,12:34:29,30/04
0.0,0,2,12:34:30,30/04
0.0,0,3,12:34:31,30/04
0.0,0,4,12:34:32,30/04
0.0,0,5,12:34:33,30/04
0.0,0,6,12:34:34,30/04
0.0,0,7,12:34:35,30/04
0.4,13,8,12:34:36,30/04
0.22,7,9,12:34:37,30/04
0.0,0,10,12:34:38,30/04
0.0,0,11,12:34:39,30/04
0.0,0,12,12:34:40,30/04
0.0,0,13,12:34:41,30/04
0.34,11,14,12:34:42,30/04
0.25,8,15,12:34:43,30/04
0.12,4,16,12:34:44,30/04
0.0,0,17,12:34:45,30/04
0.0,0,18,12:34:46,30/04
0.0,0,19,12:34:47,30/04
0.0,0,20,12:34:48,30/04
0.0,0,21,12:34:49,30/04
0.37,12,22,12:34:50,30/04
0.15,5,23,12:34:51,30/04
0.0,0,24,12:34:52,30/04
0.0,0,25,12:34:53,30/04
0.0,0,26,12:34:54,30/04
0.0,0,27,12:34:55,30/04
0.0,0,28,12:34:56,30/04
0.25,8,29,12:34:57,30/04
0.43,14,30,12:34:58,30/04
0.19,6,31,12:34:59,30/04
0.0,0,32,12:35:00,30/04
0.0,0,33,12:35:01,30/04
0.0,0,34,12:35:02,30/04
0.0,0,35,12:35:03,30/04
0.0,0,36,12:35:04,30/04
0.0,0,37,12:35:05,30/04
0.0,0,38,12:35:06,30/04
0.0,0,39,12:35:07,30/04
0.34,11,40,12:35:08,30/04
0.43,14,41,12:35:09,30/04
0.43,14,42,12:35:10,30/04
0.25,8,43,12:35:11,30/04
0.09,3,44,12:35:12,30/04
0.0,0,45,12:35:13,30/04
0.0,0,46,12:35:14,30/04
0.0,0,47,12:35:15,30/04
0.0,0,48,12:35:16,30/04
0.0,0,49,12:35:17,30/04
0.0,0,50,12:35:18,30/04
0.0,0,51,12:35:19,30/04
0.4,13,52,12:35:20,30/04
0.09,3,53,12:35:21,30/04
0.0,0,54,12:35:22,30/04
0.0,0,55,12:35:23,30/04
0.0,0,56,12:35:24,30/04
0.0,0,57,12:35:25,30/04
0.0,0,58,12:35:26,30/04
0.0,0,59,12:35:27,30/04
0.0,0,60,12:35:28,30/04
0.0,0,61,12:35:29,30/04
0.28,9,62,12:35:30,30/04
0.37,12,63,12:35:31,30/04
0.12,4,64,12:35:32,30/04
0.15,5,65,12:35:33,30/04
0.0,0,66,12:35:34,30/04
0.0,0,67,12:35:36,30/04
0.0,0,68,12:35:37,30/04
0.0,0,69,12:35:38,30/04
0.0,0,70,12:35:39,30/04
0.0,0,71,12:35:40,30/04
0.25,8,72,12:35:41,30/04
0.4,13,73,12:35:42,30/04
0.25,8,74,12:35:43,30/04
0.12,4,75,12:35:44,30/04
0.0,0,76,12:35:45,30/04
0.0,0,77,12:35:46,30/04
0.0,0,78,12:35:47,30/04
0.0,0,79,12:35:48,30/04
0.0,0,80,12:35:49,30/04
0.0,0,81,12:35:50,30/04
0.0,0,82,12:35:51,30/04
0.19,6,83,12:35:52,30/04
0.37,12,84,12:35:53,30/04
0.4,13,85,12:35:54,30/04
0.12,4,86,12:35:55,30/04
